"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"10/26/2002","45","","Lancaster-Division Street","06-037-9033","AQS"
"10/27/2002","54","","Lancaster-Division Street","06-037-9033","AQS"
"10/28/2002","51","","Lancaster-Division Street","06-037-9033","AQS"
"10/29/2002","54","","Costa Mesa","06-059-1003","AQS"
"10/30/2002","48","","Costa Mesa","06-059-1003","AQS"
"10/31/2002","44","","Costa Mesa","06-059-1003","AQS"
"11/01/2002","47","","Costa Mesa","06-059-1003","AQS"
"11/02/2002","58","","West Los Angeles","06-037-0113","AQS"
"11/03/2002","48","","West Los Angeles","06-037-0113","AQS"
"11/04/2002","84","","Costa Mesa","06-059-1003","AQS"
"11/05/2002","42","","West Los Angeles","06-037-0113","AQS"
"11/06/2002","37","","West Los Angeles","06-037-0113","AQS"
"11/07/2002","33","","Lancaster-Division Street","06-037-9033","AQS"
"11/08/2002","21","","Lancaster-Division Street","06-037-9033","AQS"
"11/09/2002","33","","Lancaster-Division Street","06-037-9033","AQS"
"11/10/2002","42","","Santa Clarita","06-037-6012","AQS"
"11/11/2002","44","","Santa Clarita","06-037-6012","AQS"
"11/12/2002","32","","West Los Angeles","06-037-0113","AQS"
"11/13/2002","27","","Lancaster-Division Street","06-037-9033","AQS"
"11/14/2002","41","","Santa Clarita","06-037-6012","AQS"
"11/15/2002","41","","Santa Clarita","06-037-6012","AQS"
"11/16/2002","32","","Lancaster-Division Street","06-037-9033","AQS"
"11/17/2002","45","","Lancaster-Division Street","06-037-9033","AQS"
"11/18/2002","43","","Santa Clarita","06-037-6012","AQS"
"11/19/2002","38","","Glendora","06-037-0016","AQS"
"11/20/2002","39","","Santa Clarita","06-037-6012","AQS"
"11/21/2002","32","","Costa Mesa","06-059-1003","AQS"
"11/22/2002","28","","Hawthorne","06-037-5001","AQS"
"11/23/2002","43","","Lancaster-Division Street","06-037-9033","AQS"
"11/24/2002","44","","Lancaster-Division Street","06-037-9033","AQS"
"11/25/2002","46","","Glendora","06-037-0016","AQS"
"11/26/2002","46","","Azusa","06-037-0002","AQS"
"11/27/2002","43","","Glendora","06-037-0016","AQS"
"11/28/2002","44","","Santa Clarita","06-037-6012","AQS"
"11/29/2002","31","","Costa Mesa","06-059-1003","AQS"
"11/30/2002","34","","Costa Mesa","06-059-1003","AQS"
"12/01/2002","34","","Santa Clarita","06-037-6012","AQS"
"12/02/2002","36","","Santa Clarita","06-037-6012","AQS"
"12/03/2002","31","","Costa Mesa","06-059-1003","AQS"
"12/04/2002","31","","Santa Clarita","06-037-6012","AQS"
"12/05/2002","31","","Santa Clarita","06-037-6012","AQS"
"12/06/2002","32","","Costa Mesa","06-059-1003","AQS"
"12/07/2002","37","","Lancaster-Division Street","06-037-9033","AQS"
"12/08/2002","36","","Pasadena","06-037-2005","AQS"
"12/09/2002","27","","Hawthorne","06-037-5001","AQS"
"12/10/2002","37","","Santa Clarita","06-037-6012","AQS"
"12/11/2002","36","","Santa Clarita","06-037-6012","AQS"
"12/12/2002","23","","Glendora","06-037-0016","AQS"
"12/13/2002","29","","Lancaster-Division Street","06-037-9033","AQS"
"12/14/2002","30","","Lancaster-Division Street","06-037-9033","AQS"
"12/15/2002","35","","Lancaster-Division Street","06-037-9033","AQS"
